variable,label,record_type,group,group_label,url,description,n_countries,n_samples
BPLIQ,"Governorate of birth, Iraq",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLIQ,BPLIQ indicates the person's governorate of birth within Iraq.,1,1
BPLJM,"Parish of birth, Jamaica",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLJM,BPLJM indicates the person's parish of birth within Jamaica.,1,3
BPLKG,"District of birth, Kyrgyz Republic",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLKG,BPLKG indicates the person's district (rayon) of birth within Kyrgyz Republic.,1,2
BPLLA,"Province of birth, Laos",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLLA,"BPLLA indicates the province in Laos in which the person was born. For information of districts of birth, see BPLLA2",1,3
BPLLA2,"District of birth, Laos",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLLA2,"BPLLA2 indicates the district in Laos in which the person was born. For information of provinces of birth, see BPLLA",1,2
BPLLR,"County of birth, Liberia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLLR,BPLLR indicates the person's county of birth within Liberia.,1,2
BPLML,"Circle of birth, Mali",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLML,BPLML indicates the person's circle of birth within Mali.,1,3
BPLMM1,"Region or state of birth, Myanmar",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLMM1,BPLMM1 indicates the person's state of birth within Myanmar.,1,1
BPLMM2,"District of birth, Myanmar",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLMM2,BPLMM2 indicates the person's district of birth within Myanmar.,1,1
BPLMX,"State of birth, Mexico",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLMX,BPLMX indicates the person's state of birth (Entidad Federativa) within Mexico.,1,70
BPLMY,"State of birth, Malaysia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLMY,BPLMY indicates the person's state of birth within Malaysia.,1,4
BPLNI,"Department of birth, Nicaragua",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLNI,BPLNI indicates the person's department of birth within Nicaragua.,1,3
BPLNP,"District of birth, Nepal",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLNP,BPLNP indicates the person's district of birth within Nepal.,1,2
BPLPA,"Province of birth, Panama",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPA,BPLPA indicates the person's province of birth within Panama.,1,5
BPLPE,"Province of birth, Peru",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPE,BPLPE indicates the person's province of birth within Peru.,1,3
BPLPG,"Province or country of birth, Papua New Guinea",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPG,BPLPG indicates the person's province of birth within Papua New Guinea,1,3
BPLPH,"Province of birth, Philippines",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPH,BPLPH indicates the province in the Philippines in which the person was born.,1,1
BPLPK,"District of birth, Pakistan",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPK,"BPLPK indicates the person's district of birth within Pakistan. East Pakistan is coded as a foreign country. NOTE: The Pakistan 1973 sample includes respondents whose districts of birth are in the Federally Administered Tribal Areas and the two autonomous states, Northern areas (Gilgit-Baltistan) and Kashmir. The actual residents of those areas are not included in the sample.",1,1
BPLPR,"U.S. state of birth, Puerto Rico",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPR,BPLPR indicates the person's United States state of birth for residents of Puerto Rico.,1,8
BPLPS,"Area of birth, Palestine",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPS,"BPLPS indicates the person's place of birth for the Palestinian samples, very roughly categorized.",1,2
BPLPT,"Subregion of birth, Portugal",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPT,BPLPT indicates the person's place of birth at the NUTS-3 Eurostat subregion level for Portugal.,1,4
BPLPY1,"Department of birth, Paraguay",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPY1,BPLPY1 indicates the department in Paraguay in which the person was born.,1,5
BPLPY2,"District of birth, Paraguay",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLPY2,BPLPY2 indicates the district in Paraguay in which the person was born.,1,3
BPLRO,"County of birth, Romania",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLRO,BPLRO indicates the county in Romania in which the person was born.,1,4
BPLRU,"Region of birth, Russia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLRU,BPLRU indicates the region in Russia in which the person was born.,1,2
BPLRW1,"District of birth, Rwanda 1991-2002",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLRW1,"BPLRW1 indicates the person's district of birth within Rwanda. For the 1991 sample, a person's birthplace is recorded at the province level. For district of birth in 2012, refer to BPLRW2 .",1,2
BPLRW2,"District of birth, Rwanda, 2012",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLRW2,"BPLRW2 indicates the person's district of birth within Rwanda, in 2012. BPLRW1 indicates the person's district of birth within Rwanda in 1991 and 2002.",1,1
BPLSD,"State of birth, Sudan",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLSD,BPLSD indicates the person's state of birth in Sudan. Sudan and South Sudan were enumerated as one country in 2008. States of birth with South Sudan are also identified in this variable.,1,1
BPLSI,"Region of birth, Slovenia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLSI,BPLSI indicates the person's region of birth within Slovenia.,1,1
BPLSL,"Chiefdom of birth, Sierra Leone",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLSL,BPLSL indicates the person's chiefdom or ward of birth within Sierra Leone.,1,2
BPLSN,"Department of birth, Senegal",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLSN,BPLSN indicates the person's department of birth within Senegal.,1,3
BPLSS,"State of birth, South Sudan",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLSS,BPLSS indicates the state in South Sudan in which the person was born. South Sudan and Sudan were enumerated as one country in 2008. States of birth within Sudan are also identified in this variable.,1,1
BPLSV,"Department of birth, El Salvador",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLSV,BPLSV indicates the person's department of birth within El Salvador.,1,2
BPLTH,"Province of birth, Thailand",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLTH,BPLTH indicates the person's province of birth within Thailand.,1,4
BPLTR,"Province of birth, Turkey",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLTR,BPLTR indicates the person's province of birth within Turkey.,1,3
BPLTT,"County of birth, Trinidad and Tobago",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLTT,BPLTT indicates the person's county of birth within Trinidad and Tobago.,1,4
BPLTZ,"Region of birth, Tanzania",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLTZ,BPLTZ indicates the person's region of birth within Tanzania.,1,3
